feature,importance
silica_prev_hour,0.713892123828735
Ore Pulp pH,0.020623671169035743
Starch Flow,0.017630544442822374
Flotation Column 03 Air Flow,0.01744138210645211
Ore Pulp Density,0.017172303302625525
Flotation Column 06 Air Flow,0.016242357927519196
Amina Flow,0.015797115852149497
Ore Pulp Flow,0.015055452159024714
Flotation Column 07 Air Flow,0.015022306761635134
Flotation Column 06 Level,0.01359687653322334
Flotation Column 03 Level,0.013252756432299876
Flotation Column 01 Air Flow,0.012788826140940387
Flotation Column 04 Air Flow,0.012531721892607046
Flotation Column 02 Air Flow,0.012295388251661016
Flotation Column 05 Air Flow,0.011989974607797473
Flotation Column 04 Level,0.011950578327446178
Flotation Column 07 Level,0.011706597071068312
Flotation Column 02 Level,0.01129009962944857
Flotation Column 05 Level,0.010784064843989367
% Silica Feed,0.01035076308313857
Flotation Column 01 Level,0.009304238427533027
% Iron Feed,0.009280857208847599
