date,actual,mean_baseline,rf_sensors_only,repeat_last_hour,rf_sensors_plus_last_hour
2017-08-06 21:00:00,1.73,2.3356,2.1381,2.24,2.2089
2017-08-06 22:00:00,2.37,2.3356,2.3573,1.73,1.765
2017-08-06 23:00:00,1.79,2.3356,1.995,2.37,2.2425
2017-08-07 00:00:00,1.8,2.3356,2.006,1.79,1.8138
2017-08-07 01:00:00,1.8,2.3356,2.3157,1.8,1.904
2017-08-07 02:00:00,1.09,2.3356,2.3311,1.8,2.014
2017-08-07 03:00:00,1.17,2.3356,2.2271,1.09,1.647
2017-08-07 04:00:00,1.04,2.3356,2.2236,1.17,1.8432
2017-08-07 05:00:00,1.55,2.3356,2.1332,1.04,1.736
2017-08-07 06:00:00,0.86,2.3356,2.1782,1.55,1.8113
2017-08-07 07:00:00,1.88,2.3356,2.3,0.86,1.636
2017-08-07 08:00:00,1.59,2.3356,2.1868,1.88,1.9592
2017-08-07 09:00:00,1.16,2.3356,2.2156,1.59,1.9369
2017-08-07 10:00:00,1.19,2.3356,2.206,1.16,1.5702
2017-08-07 11:00:00,0.66,2.3356,2.313,1.19,1.6305
2017-08-07 12:00:00,0.66,2.3356,2.3404,0.66,1.5465
2017-08-07 13:00:00,0.66,2.3356,2.4158,0.66,1.9171
2017-08-07 14:00:00,0.96,2.3356,2.2387,0.66,1.8054
2017-08-07 15:00:00,1.08,2.3356,2.2248,0.96,1.6044
2017-08-07 16:00:00,1.2,2.3356,2.2603,1.08,1.6429
2017-08-07 17:00:00,1.42,2.3356,2.425,1.2,1.5775
2017-08-07 18:00:00,1.13,2.3356,2.5383,1.42,1.9659
2017-08-07 19:00:00,1.58,2.3356,2.2019,1.13,1.6943
2017-08-07 20:00:00,1.82,2.3356,2.2899,1.58,1.7808
2017-08-07 21:00:00,1.25,2.3356,2.2235,1.82,1.8428
2017-08-07 22:00:00,1.92,2.3356,2.2288,1.25,1.9626
2017-08-07 23:00:00,1.7,2.3356,2.3848,1.92,1.9763
2017-08-08 00:00:00,2.39,2.3356,2.1543,1.7,1.9504
2017-08-08 01:00:00,2.27,2.3356,2.2719,2.39,2.1426
2017-08-08 02:00:00,2.42,2.3356,2.3174,2.27,2.336
2017-08-08 03:00:00,2.83,2.3356,2.3757,2.42,2.3921
2017-08-08 04:00:00,4.04,2.3356,2.5292,2.83,2.6106
2017-08-08 05:00:00,4.66,2.3356,2.1542,4.04,3.1583
2017-08-08 06:00:00,4.57,2.3356,2.3521,4.66,4.296
2017-08-08 07:00:00,4.7,2.3356,3.6259,4.57,4.2672
2017-08-08 08:00:00,1.92,2.3356,3.1451,4.7,4.3768
2017-08-08 09:00:00,1.54,2.3356,3.2852,1.92,2.4336
2017-08-08 10:00:00,1.07,2.3356,2.7624,1.54,1.8749
2017-08-08 11:00:00,1.34,2.3356,3.181,1.07,1.6738
2017-08-08 12:00:00,1.18,2.3356,2.3663,1.34,1.7488
2017-08-08 13:00:00,1.06,2.3356,2.6117,1.18,1.5138
2017-08-08 14:00:00,0.91,2.3356,2.6221,1.06,1.5411
2017-08-08 15:00:00,1.02,2.3356,2.3746,0.91,1.6861
2017-08-08 16:00:00,1.02,2.3356,2.518,1.02,1.6367
2017-08-08 17:00:00,0.91,2.3356,2.2959,1.02,1.4647
2017-08-08 18:00:00,1.27,2.3356,2.3703,0.91,1.5546
